month,day,hour,weekday,ride_count,weekday_num
4,24,19,Thursday,1702,3
4,24,20,Thursday,1779,3
4,24,21,Thursday,1865,3
4,24,22,Thursday,1490,3
4,24,23,Thursday,770,3
4,25,0,Friday,350,4
4,25,1,Friday,193,4
4,25,2,Friday,139,4
4,25,3,Friday,177,4
4,25,4,Friday,238,4
4,25,5,Friday,372,4
4,25,6,Friday,796,4
4,25,7,Friday,1054,4
4,25,8,Friday,937,4
4,25,9,Friday,717,4
4,25,10,Friday,651,4
4,25,11,Friday,699,4
4,25,12,Friday,784,4
4,25,13,Friday,891,4
4,25,14,Friday,1127,4
4,25,15,Friday,1445,4
4,25,16,Friday,1686,4
4,25,17,Friday,1754,4
4,25,18,Friday,1947,4
4,25,19,Friday,1610,4
4,25,20,Friday,1466,4
4,25,21,Friday,2007,4
4,25,22,Friday,2141,4
4,25,23,Friday,1914,4
4,26,0,Saturday,1003,5
4,26,1,Saturday,1162,5
4,26,2,Saturday,789,5
4,26,3,Saturday,431,5
4,26,4,Saturday,243,5
4,26,5,Saturday,203,5
4,26,6,Saturday,262,5
4,26,7,Saturday,355,5
4,26,8,Saturday,398,5
4,26,9,Saturday,519,5
4,26,10,Saturday,578,5
4,26,11,Saturday,687,5
4,26,12,Saturday,689,5
4,26,13,Saturday,794,5
4,26,14,Saturday,946,5
4,26,15,Saturday,1384,5
4,26,16,Saturday,1791,5
4,26,17,Saturday,1904,5
4,26,18,Saturday,1937,5
4,26,19,Saturday,1814,5
4,26,20,Saturday,1553,5
4,26,21,Saturday,1865,5
4,26,22,Saturday,1910,5
4,26,23,Saturday,1708,5
4,27,0,Sunday,1383,6
4,27,1,Sunday,893,6
4,27,2,Sunday,477,6
4,27,3,Sunday,292,6
4,27,4,Sunday,180,6
4,27,5,Sunday,168,6
4,27,6,Sunday,190,6
4,27,7,Sunday,247,6
4,27,8,Sunday,335,6
4,27,9,Sunday,459,6
4,27,10,Sunday,568,6
4,27,11,Sunday,637,6
4,27,12,Sunday,685,6
4,27,13,Sunday,792,6
4,27,14,Sunday,892,6
4,27,15,Sunday,1014,6
4,27,16,Sunday,1070,6
4,27,17,Sunday,962,6
4,27,18,Sunday,717,6
4,27,19,Sunday,688,6
4,27,20,Sunday,639,6
4,27,21,Sunday,629,6
4,27,22,Sunday,460,6
4,27,23,Sunday,300,6
4,28,0,Monday,184,0
4,28,1,Monday,84,0
4,28,2,Monday,78,0
4,28,3,Monday,164,0
4,28,4,Monday,275,0
4,28,5,Monday,455,0
4,28,6,Monday,776,0
4,28,7,Monday,1005,0
4,28,8,Monday,861,0
4,28,9,Monday,613,0
4,28,10,Monday,561,0
4,28,11,Monday,540,0
4,28,12,Monday,545,0
4,28,13,Monday,635,0
4,28,14,Monday,816,0
4,28,15,Monday,977,0
4,28,16,Monday,1163,0
4,28,17,Monday,1355,0
4,28,18,Monday,996,0
4,28,19,Monday,872,0
4,28,20,Monday,986,0
4,28,21,Monday,785,0
4,28,22,Monday,444,0
4,28,23,Monday,305,0
4,29,0,Tuesday,153,1
4,29,1,Tuesday,96,1
4,29,2,Tuesday,66,1
4,29,3,Tuesday,112,1
4,29,4,Tuesday,189,1
4,29,5,Tuesday,370,1
4,29,6,Tuesday,872,1
4,29,7,Tuesday,1207,1
4,29,8,Tuesday,1022,1
4,29,9,Tuesday,650,1
4,29,10,Tuesday,639,1
4,29,11,Tuesday,591,1
4,29,12,Tuesday,639,1
4,29,13,Tuesday,970,1
4,29,14,Tuesday,1322,1
4,29,15,Tuesday,1693,1
4,29,16,Tuesday,1954,1
4,29,17,Tuesday,2270,1
4,29,18,Tuesday,1861,1
4,29,19,Tuesday,1654,1
4,29,20,Tuesday,1666,1
4,29,21,Tuesday,1575,1
4,29,22,Tuesday,808,1
4,29,23,Tuesday,456,1
4,30,0,Wednesday,219,2
4,30,1,Wednesday,130,2
4,30,2,Wednesday,100,2
4,30,3,Wednesday,154,2
4,30,4,Wednesday,233,2
4,30,5,Wednesday,580,2
4,30,6,Wednesday,1134,2
4,30,7,Wednesday,1472,2
4,30,8,Wednesday,1607,2
4,30,9,Wednesday,1349,2
4,30,10,Wednesday,1402,2
4,30,11,Wednesday,1389,2
4,30,12,Wednesday,1493,2
4,30,13,Wednesday,1620,2
4,30,14,Wednesday,1887,2
4,30,15,Wednesday,2406,2
4,30,16,Wednesday,2656,2
4,30,17,Wednesday,2801,2
4,30,18,Wednesday,3038,2
4,30,19,Wednesday,2834,2
4,30,20,Wednesday,2766,2
4,30,21,Wednesday,2308,2
4,30,22,Wednesday,1778,2
4,30,23,Wednesday,895,2
5,1,0,Thursday,348,3
5,1,1,Thursday,179,3
5,1,2,Thursday,101,3
5,1,3,Thursday,172,3
5,1,4,Thursday,241,3
5,1,5,Thursday,438,3
5,1,6,Thursday,822,3
5,1,7,Thursday,1274,3
5,1,8,Thursday,1237,3
5,1,9,Thursday,853,3
5,1,10,Thursday,771,3
5,1,11,Thursday,662,3
5,1,12,Thursday,716,3
5,1,13,Thursday,820,3
5,1,14,Thursday,1060,3
5,1,15,Thursday,1348,3
5,1,16,Thursday,1584,3
5,1,17,Thursday,1845,3
5,1,18,Thursday,1710,3
5,1,19,Thursday,1584,3
5,1,20,Thursday,1546,3
5,1,21,Thursday,1880,3
